Sample	posterior	likelihood	prior	M.1	M.2	SkylineNe.A.1	SkylineNe.A.2	SkylineNe.B.1	SkylineNe.B.2	psi.height	psi.treeLength	Mascot	D.treeLikelihood
150	-5229.063799441112	-5196.942425878917	-32.12137356219505	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.7820057981304275	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.229543953892012	-17.851610414654363	-5196.942425878917
152	-5229.496543139128	-5196.942425878917	-32.55411726021138	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.229543953892012	-17.421208435612296	-5196.942425878917
154	-5228.46752594621	-5195.998424672604	-32.46910127360544	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.2230812979517	-17.33619244900636	-5195.998424672604
156	-5228.46752594621	-5195.998424672604	-32.46910127360544	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.2230812979517	-17.33619244900636	-5195.998424672604
158	-5227.7170010369055	-5195.280399684128	-32.43660135277799	0.4618059358726599	0.49817724684181197	-2.713091291362515	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.219058713930522	-17.30369252817891	-5195.280399684128
160	-5224.796496944051	-5195.280399684128	-29.516097259923235	0.4618059358726599	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.219058713930522	-16.7478250265156	-5195.280399684128
162	-5225.130081139461	-5195.280399684128	-29.849681455333425	0.9659253271982895	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.219058713930522	-16.641329995552688	-5195.280399684128
164	-5224.80677902521	-5195.280399684128	-29.526379341082375	0.33600260780455726	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.219058713930522	-16.77985261890775	-5195.280399684128
166	-5223.110119221488	-5193.567976165262	-29.542143056226735	0.33600260780455726	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.228338567271585	-16.79561633405211	-5193.567976165262
168	-5220.793598720639	-5191.270179761469	-29.52341895917008	0.33600260780455726	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.24575627183512	-16.776892236995455	-5191.270179761469
170	-5220.939807124296	-5191.270179761469	-29.669627362826574	0.7371383748712156	0.49817724684181197	-2.1906757316426835	-0.3774152572584287	1.4922333736021411	-0.049245519490894896	12.443848834863834	27.24575627183512	-16.685681471991874	-5191.270179761469
